artist(s)_name,count
Bad Bunny,26
Taylor Swift,19
Feid,15
The Weeknd,13
Rauw Alejandro,10
Peso Pluma,10
Quevedo,8
Karol G,8
Ed Sheeran,7
Bizarrap,7
Metro Boomin,7
Harry Styles,6
Grupo Frontera,6
BTS,6
Morgan Wallen,6
Drake,6
Eminem,5
Lana Del Rey,5
NewJeans,5
Junior H,5
Coldplay,5
Fuerza Regida,5
Shakira,4
Post Malone,4
Natanael Cano,4
Mora,4
Jimin,4
Imagine Dragons,4
Tainy,3
Myke Towers,3
Ana Castela,3
Central Cee,3
Kendrick Lamar,3
Bruno Mars,3
Duki,3
SZA,3
21 Savage,3
Calvin Harris,3
J. Cole,3
Adele,3
IVE,3
ROSALï¿½,3
Anuel Aa,3
Chencho Corleone,3
Manuel Turizo,3
Coi Leray,3
Olivia Rodrigo,3
Justin Bieber,3
Dua Lipa,3
The Neighbourhood,3
Burna Boy,2
Gesaffelstein,2
Ice Spice,2
Sam Smith,2
Charlie Puth,2
Playboi Carti,2
Kanye West,2
Vishal-Shekhar,2
Lizzo,2
JVKE,2
Jung Kook,2
Shekhar Ravjiani,2
Swae Lee,2
Chino Pacas,2
Eden Muï¿½ï,2
Troye Sivan,2
Lisa,2
David Guetta,2
Grupo Marca Registrada,2
Mambo Kingz,2
Marshmello,2
NICKI NICOLE,2
Maria Becerra,2
Vishal Dadlani,2
Cris Mj,2
Stephen Sanchez,2
Tiï¿½ï¿½sto,2
Dave,2
Fifty Fifty,2
Lewis Capaldi,2
Kali Uchis,2
Gabito Ballesteros,2
d4vd,2
DJ Luian,2
Ovy On The Drums,2
Jhay Cortez,2
Sech,2
NLE Choppa,2
Tiago pzk,2
Future,2
Luciano,2
Frank Ocean,2
Arctic Monkeys,2
Arijit Singh,2
Labrinth,2
Becky G,2
Kaliii,2
Tini,2
Agust D,2
Jasiel Nuï¿½ï¿½ez,2
Peso P,2
James Arthur,2
LE SSERAFIM,2
Kumaar,2
Sebastian Yatra,2
Sachin-Jigar,2
Avicii,2
(G)I-DLE,2
Billie Eilish,2
Chris Brown,2
Lil Durk,2
Camila Cabello,2
Travis Scott,2
Daddy Yankee,2
Arcangel,2
Mc Pedrinho,2
Israel & Rodolffo,2
Maroon 5,2
Steve Lacy,2
Lil Uzi Vert,2
Yng Lvcas,1
dennis,1
Tom Odell,1
Peggy Gou,1
Anne-Marie,1
Eslabon Armado,1
Gunna,1
Young Miko,1
David Kushner,1
Madonna,1
Rï¿½ï¿½ma,1
unxbected,1
Selena G,1
Ayparia,1
Tyler,1
Bebe Rexha,1
Kyla,1
Jain,1
The Kid Laroi,1
Miguel,1
Miley Cyrus,1
WizKid,1
